rooms,floor,totfloors,lon,lat,m2,price
2,13,22,39.759776,47.237155,74.00,5500000
2,13,15,39.778191,47.240496,49.00,2950000
1,8,9,39.799194,47.23718,48.00,4100000
2,7,10,39.625208,47.223749,54.00,4500000
1,16,17,39.707269,47.284899,38.00,2200000
0,3,4,39.715848,47.218761,150.00,800000
0,3,3,39.708536,47.257005,13.00,650000
1,15,16,39.710144,47.294574,42.00,2850000
3,3,3,39.666153,47.263806,81.00,3700000
1,7,10,39.692106,47.293394,38.00,2500000
1,7,23,39.689034,47.290999,38.00,2054000
1,1,1,39.770304,47.232255,23.00,1800000
3,3,5,39.791343,47.270538,56.00,3200000
3,5,5,39.701421,47.253042,58.00,3300000
0,4,5,39.711941,47.217212,62.00,900000
2,8,10,39.626259,47.222604,64.00,3500000
0,4,5,39.716486,47.264552,14.00,850000
2,4,5,39.810728,47.236764,44.00,2800000
4,6,12,39.835252,47.240857,81.00,5000000
2,9,9,39.713611,47.29832,53.00,3200000
3,10,17,39.726673,47.23294,105.00,10500000
1,1,5,39.711195,47.228442,30.20,2500000
2,14,14,39.707602,47.262656,51.00,3400000
2,10,10,39.742968,47.298302,77.00,4450000
2,4,5,39.635925,47.210712,47.00,2200000
1,2,3,39.701682,47.220426,27.00,1700000
1,1,5,39.71053,47.253605,30.00,1900000
3,6,6,39.708644,47.267413,68.00,4050000
1,9,16,39.626062,47.217304,36.00,1850000
0,1,9,39.72396,47.300538,22.00,1550000
2,7,9,39.651196,47.259458,50.00,2900000
3,6,16,39.591827,47.233209,69.00,4700000
1,2,5,39.779036,47.248797,32.00,2100000
1,1,9,39.71142,47.287833,38.00,2500000
0,6,9,39.703487,47.29799,31.00,2100000
2,16,18,39.591827,47.233209,56.50,2800000
1,2,5,39.823736,47.239474,25.00,1550000
0,1,9,39.724742,47.301241,22.00,1600000
2,2,9,39.694019,47.29392,52.00,2650000
2,2,3,39.64383,47.208263,40.00,1900000
1,1,5,39.708392,47.254828,30.00,2500000
2,12,21,39.696319,47.288658,65.00,3400000
2,3,5,39.633778,47.231361,46.00,2440000
1,15,26,39.621992,47.194029,41.00,1900000
1,5,5,39.715624,47.29153,31.00,1900000
3,2,6,39.734228,47.28963,72.00,4100000
1,7,9,39.64869,47.258504,41.00,2450000
1,13,19,39.667213,47.225505,27.00,2050000
1,2,6,39.720618,47.293254,23.00,1700000
1,11,14,39.710099,47.273418,40.00,2450000
1,4,10,39.675873,47.246962,42.00,2650000
